FillUpDate,TotalMiles,TankMiles,Gallons,MPG,FinishTankDate,Notes,,,
16-Sep-07,42653.5,296.1,17.59,16.83342808,20-Sep-07,,,,
20-Sep-07,43057,403.5,24.02,16.79850125,20-Sep-07,,,,
20-Sep-07,43567,510,27.996,18.21688813,25-Sep-07,,,,
25-Sep-07,43968.1,401.1,27.383,14.64777417,25-Sep-07,,,,
25-Sep-07,44378,409.9,24.879,16.47574259,5-Oct-07,,,,
5-Oct-07,44777,399,27.93,14.28571429,23-Oct-07,,,,
23-Oct-07,45211,434,28.79,15.07467871,28-Oct-07,,,,
28-Oct-07,45629.5,418.5,26.002,16.09491578,12-Nov-07,,,,
12-Nov,46080,450.5,30.898,14.58023173,25-Nov-07,,,,
25-Nov-07,46484.9,404.9,25.96,15.59707242,11-Dec-07,,,,
11-Dec-07,46882.9,398,31.1,12.79742765,8-Jan-08,,,,
8-Jan-08,47290.2,407.3,29.932,13.60751036,4-Mar-08,,,,
4-Mar-08,47695,404.8,30.16,13.42175066,7-Mar-08,,,,
7-Mar-08,48153.6,458.6,30.8,14.88961039,13-Mar-08,,,,
13-Mar-08,48591.5,437.9,29.4,14.89455782,21-Mar-08,,,,
21-Mar-08,48966.5,375,25.6,14.6484375,26-Mar-08,,,,
26-Mar-08,49412.1,445.6,28.57,15.59677984,1-Apr-08,,,,
1-Apr-08,49952.4,540.3,28.5,18.95789474,9-Apr-08,,,,
9-Apr-08,50282.2,329.8,27.1,12.1697417,5-May-08,,,,
5-May,50743.3,461.1,27.1,17.01476015,11-May-08,,,,
11-May-08,51153.3,410,26,15.76923077,19-May-08,,,,
19-May-08,51551.8,436.5,27.5,15.87272727,26-May-08,,,,
26-May-08,52003.6,451.8,29.5,15.31525424,6-Jun-08,,,,
6-Jun-08,52440.8,437.2,29.2,14.97260274,0-Jan-00,,,,
